epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,315.216,1.31213,2.22,2.51579,0.01165,2.20988,0.94548,0.8951,0.96103,0.64927,0.85304,0.80315,0.80981,0.41322,1.15411,1.33482,0.51404,0.01608,0,0.00999012,0.00333004,0.00999012,0.00333004,0.00999012,0.00333004,0.00999012,0.00333004
2,565.674,1.13858,1.58551,0.68012,0.00963,1.70573,0.9561,0.954,0.982,0.6705,0.86606,0.84231,0.82831,0.42933,1.17497,1.33461,0.39634,0.01622,0,0.0199242,0.00664138,0.0199242,0.00664138,0.0199242,0.00664138,0.0199242,0.00664138
3,812.357,1.21036,1.62377,0.69719,0.01024,2.38323,0.93875,0.9231,0.96869,0.65647,0.82923,0.80639,0.80412,0.39183,1.17112,1.458,0.45004,0.01634,0,0.0297922,0.00993073,0.0297922,0.00993073,0.0297922,0.00993073,0.0297922,0.00993073
4,1056.68,1.28792,1.7393,0.77228,0.01103,3.10284,0.94157,0.91831,0.96859,0.64615,0.85499,0.81127,0.82302,0.39809,1.19034,1.45958,0.4941,0.01664,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1298.25,1.29927,1.74584,0.76924,0.0111,3.16142,0.96911,0.96455,0.98438,0.68568,0.8877,0.87732,0.86536,0.43394,1.10615,1.31714,0.36698,0.01535,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1541.99,1.30188,1.72233,0.72989,0.0111,2.77591,0.97023,0.96231,0.98445,0.68464,0.87692,0.85509,0.84884,0.42379,1.12787,1.34987,0.35282,0.0155,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1785.46,1.27825,1.71413,0.71559,0.01087,3.20551,0.96378,0.95215,0.98283,0.67978,0.88081,0.86035,0.85642,0.4241,1.12779,1.35331,0.4159,0.01561,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,2026.99,1.23826,1.65597,0.67828,0.01052,2.83212,0.97096,0.95301,0.98565,0.68564,0.87273,0.84938,0.84553,0.43115,1.11549,1.34334,0.37845,0.01537,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,2269.48,1.22355,1.62034,0.64941,0.01036,2.26996,0.97178,0.96826,0.99017,0.70509,0.89,0.87464,0.85882,0.45115,1.07689,1.30765,0.32868,0.01481,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2514.83,1.20426,1.60295,0.62868,0.01015,2.27055,0.97276,0.97139,0.99051,0.70084,0.90611,0.90296,0.88299,0.45873,1.05211,1.25745,0.33998,0.0145,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
