epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,872.784,2.16766,2.88208,0.00326,0.65319,0.51981,0.58092,0.27203,1.87842,1.58036,0.00428,0.00999784,0.00333261,0.00999784,0.00333261,0.00999784,0.00333261,0.00999784,0.00333261
2,1574.57,1.96416,1.68917,0.00286,0.67828,0.53139,0.59432,0.27786,1.86239,1.54158,0.00427,0.0199319,0.00664395,0.0199319,0.00664395,0.0199319,0.00664395,0.0199319,0.00664395
3,2246.42,2.00455,1.71914,0.00292,0.64376,0.56177,0.59433,0.27252,1.87353,1.51708,0.00428,0.0297999,0.00993329,0.0297999,0.00993329,0.0297999,0.00993329,0.0297999,0.00993329
4,2910.17,2.01081,1.73476,0.00295,0.67964,0.55413,0.62875,0.29298,1.84614,1.42111,0.00421,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,3575.09,1.96983,1.61286,0.00287,0.69405,0.58435,0.65428,0.31328,1.82014,1.34734,0.00416,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,4240.45,1.93723,1.52611,0.0028,0.69226,0.59132,0.66255,0.32487,1.73716,1.37466,0.00392,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,4906.32,1.9278,1.45041,0.00279,0.72955,0.62847,0.7003,0.34506,1.75105,1.25347,0.00394,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,5572.66,1.89991,1.39659,0.00273,0.75168,0.63372,0.72007,0.36975,1.71376,1.1846,0.00384,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,6239.3,1.87636,1.33928,0.00269,0.76374,0.64376,0.73222,0.37884,1.702,1.14887,0.00382,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,6905.42,1.86579,1.28457,0.00268,0.75143,0.68103,0.74625,0.39084,1.69639,1.11333,0.00378,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,7572.48,1.84811,1.24347,0.00263,0.78297,0.68913,0.77082,0.41048,1.66961,1.02739,0.00371,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,8239.44,1.82173,1.19199,0.00258,0.78856,0.69318,0.76993,0.41619,1.66638,1.01155,0.00371,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,8906.84,1.80707,1.14554,0.00257,0.8143,0.69485,0.79001,0.42864,1.64291,0.971,0.00363,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,9574.51,1.79176,1.11492,0.00253,0.8127,0.70457,0.79404,0.44053,1.62969,0.95466,0.00364,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,10241.8,1.78439,1.07633,0.00252,0.83827,0.72365,0.81674,0.46401,1.59724,0.88718,0.00354,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,10909.2,1.75771,1.03832,0.00245,0.82472,0.73325,0.81821,0.46844,1.5772,nan,0.00347,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,11576.7,1.7397,1.02176,0.00244,0.82047,0.7626,0.8346,0.48493,1.56485,0.81616,0.00345,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,12244.2,1.72128,0.98692,0.0024,0.81645,0.76083,0.83157,0.48774,1.54695,nan,0.00339,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,12911.7,1.70484,0.95581,0.00239,0.84499,0.7549,0.84251,0.50047,1.52623,0.79413,0.00333,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,13578.9,1.67893,0.93641,0.00234,0.83408,0.78032,0.84748,0.5067,1.50492,nan,0.00329,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
