epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,182.801,1.45924,2.96585,5.31955,0.00502,6.80564,0.01555,0.10734,0.0122,0.0079,0.01553,0.10709,0.01214,0.00718,1.12631,2.38387,4.04784,0.00615,0,0.000269473,8.98242e-05,0.000269473,8.98242e-05,0.000269473,8.98242e-05,0.000269473,8.98242e-05
2,355.105,1.19024,2.36321,4.73845,0.0039,5.44407,0.03429,0.23047,0.02907,0.02141,0.03424,0.23019,0.029,0.01922,1.07281,2.04903,3.52888,0.00579,0,0.000538405,0.000179468,0.000538405,0.000179468,0.000538405,0.000179468,0.000538405,0.000179468
3,524.847,1.15713,2.11492,4.2715,0.00378,4.45114,0.0608,0.38428,0.05966,0.04509,0.06067,0.38389,0.05953,0.04061,1.03443,1.81837,3.01182,0.00559,0,0.000806267,0.000268756,0.000806267,0.000268756,0.000806267,0.000268756,0.000806267,0.000268756
4,698.327,1.12585,1.93645,3.7715,0.00363,4.21761,0.08251,0.45525,0.10179,0.0767,0.09086,0.42705,0.10184,0.07008,1.03949,1.70938,2.60004,0.00564,0,0.000805189,0.000268396,0.000805189,0.000268396,0.000805189,0.000268396,0.000805189,0.000268396
5,867.722,1.11601,1.82221,3.36108,0.00363,4.16985,0.19312,0.25466,0.15425,0.11594,0.19289,0.25442,0.15403,0.10535,1.01193,1.60983,2.27231,0.00544,0,0.000803585,0.000267862,0.000803585,0.000267862,0.000803585,0.000267862,0.000803585,0.000267862
6,1036.26,1.09462,1.71749,3.04168,0.00349,4.0984,0.25244,0.34662,0.23637,0.1785,0.25226,0.34636,0.23603,0.16316,1.00534,1.55717,2.01603,0.0054,0,0.000801981,0.000267327,0.000801981,0.000267327,0.000801981,0.000267327,0.000801981,0.000267327
7,1209.42,1.06698,1.64593,2.75391,0.00339,3.96087,0.31863,0.42496,0.3266,0.24723,0.31839,0.42454,0.32618,0.22715,0.98741,1.51268,1.79302,0.00531,0,0.000800377,0.000266792,0.000800377,0.000266792,0.000800377,0.000266792,0.000800377,0.000266792
8,1377.25,1.05605,1.60701,2.49137,0.0034,3.7364,0.39925,0.48761,0.42011,0.31839,0.40131,0.48503,0.41969,0.29273,0.98142,1.49113,1.59382,0.00526,0,0.000798773,0.000266258,0.000798773,0.000266258,0.000798773,0.000266258,0.000798773,0.000266258
9,1564.56,1.05497,1.57375,2.30579,0.00336,3.41286,0.48633,0.55758,0.52323,0.39662,0.48574,0.55699,0.5226,0.36721,0.97536,1.46893,1.41169,0.00522,0,0.00079717,0.000265723,0.00079717,0.000265723,0.00079717,0.000265723,0.00079717,0.000265723
10,1733.68,1.04896,1.57328,2.11043,0.00333,3.08047,0.57806,0.61916,0.62003,0.46941,0.5791,0.61713,0.61932,0.43342,0.96679,1.46205,1.25605,0.00515,0,0.000795566,0.000265189,0.000795566,0.000265189,0.000795566,0.000265189,0.000795566,0.000265189
11,1902.99,1.04082,1.55212,1.92853,0.00333,2.78933,0.64589,0.66002,0.69652,0.52559,0.64525,0.65965,0.69592,0.48466,0.96462,1.4453,1.12353,0.00514,0,0.000793962,0.000264654,0.000793962,0.000264654,0.000793962,0.000264654,0.000793962,0.000264654
12,2072.68,1.03652,1.51892,1.75989,0.00327,2.53894,0.68941,0.71347,0.76053,0.57295,0.68907,0.71312,0.76038,0.53099,0.96004,1.42978,0.99556,0.00512,0,0.000792358,0.000264119,0.000792358,0.000264119,0.000792358,0.000264119,0.000792358,0.000264119
13,2244.09,1.03316,1.52343,1.62182,0.00326,2.42586,0.74305,0.74872,0.80588,0.60577,0.74297,0.74877,0.80586,0.56467,0.96213,1.41199,0.90177,0.00513,0,0.000790754,0.000263585,0.000790754,0.000263585,0.000790754,0.000263585,0.000790754,0.000263585
14,2416.23,1.03145,1.51782,1.51709,0.00329,2.2865,0.77329,0.7743,0.83942,0.63141,0.77267,0.77377,0.83876,0.58834,0.9603,1.40943,0.82366,0.00509,0,0.000789151,0.00026305,0.000789151,0.00026305,0.000789151,0.00026305,0.000789151,0.00026305
15,2584.99,1.01891,1.49775,1.40665,0.00322,2.19705,0.80391,0.79422,0.86462,0.65215,0.80357,0.79389,0.864,0.60458,0.94889,1.3925,0.76405,0.00505,0,0.000787547,0.000262516,0.000787547,0.000262516,0.000787547,0.000262516,0.000787547,0.000262516
16,2752.35,1.01222,1.4609,1.32222,0.0032,2.16058,0.82489,0.81434,0.88305,0.66552,0.82495,0.81432,0.88284,0.61804,0.94886,1.39049,0.71371,0.00505,0,0.000785943,0.000261981,0.000785943,0.000261981,0.000785943,0.000261981,0.000785943,0.000261981
17,2920.52,0.9986,1.44448,1.2446,0.00313,2.0555,0.84047,0.8331,0.899,0.67781,0.84016,0.83272,0.89859,0.63172,0.94546,1.37966,0.67397,0.00501,0,0.000784339,0.000261446,0.000784339,0.000261446,0.000784339,0.000261446,0.000784339,0.000261446
18,3095.26,1.00843,1.46762,1.19818,0.00317,2.02457,0.85448,0.84665,0.91195,0.68787,0.85398,0.84719,0.91168,0.64235,0.94319,1.37189,0.63887,0.005,0,0.000782735,0.000260912,0.000782735,0.000260912,0.000782735,0.000260912,0.000782735,0.000260912
19,3267.94,1.00144,1.44547,1.14525,0.00314,2.00528,0.86438,0.85363,0.91893,0.69352,0.86478,0.85305,0.91857,0.64675,0.94063,1.36489,0.60978,0.00499,0,0.000781132,0.000260377,0.000781132,0.000260377,0.000781132,0.000260377,0.000781132,0.000260377
20,3439.85,0.98768,1.41723,1.07652,0.0031,1.95284,0.87057,0.87095,0.9276,0.7002,0.87065,0.87093,0.92673,0.65417,0.94164,1.35995,0.58393,0.005,0,0.000779528,0.000259843,0.000779528,0.000259843,0.000779528,0.000259843,0.000779528,0.000259843
21,3611.83,0.99172,1.43114,1.0541,0.00315,1.96724,0.872,0.87471,0.93068,0.70398,0.87243,0.87308,0.93007,0.6538,0.93613,1.35913,0.56976,0.00497,0,0.000777924,0.000259308,0.000777924,0.000259308,0.000777924,0.000259308,0.000777924,0.000259308
22,3794.76,0.98536,1.41144,1.00988,0.00311,1.88604,0.88899,0.87461,0.93683,0.70876,0.88904,0.87363,0.93569,0.66065,0.93533,1.35449,0.55047,0.00495,0,0.00077632,0.000258773,0.00077632,0.000258773,0.00077632,0.000258773,0.00077632,0.000258773
23,3964.17,0.98783,1.40675,0.97191,0.00311,1.84956,0.89067,0.88632,0.94072,0.71334,0.89034,0.88519,0.93931,0.66338,0.92985,1.3507,0.53697,0.00493,0,0.000774716,0.000258239,0.000774716,0.000258239,0.000774716,0.000258239,0.000774716,0.000258239
24,4288.03,0.98358,1.41598,0.94236,0.00308,1.84943,0.89395,0.88836,0.94281,0.71503,0.89398,0.88764,0.9417,0.66343,0.9309,1.35048,0.52096,0.00493,0,0.000773113,0.000257704,0.000773113,0.000257704,0.000773113,0.000257704,0.000773113,0.000257704
25,4457.22,0.98563,1.39834,0.91356,0.00308,1.82468,0.90564,0.8869,0.94495,0.71725,0.90556,0.8868,0.9439,0.66725,0.92898,1.34183,0.51233,0.00492,0,0.000771509,0.00025717,0.000771509,0.00025717,0.000771509,0.00025717,0.000771509,0.00025717
26,4625.42,0.97133,1.37894,0.87373,0.00304,1.78908,0.90151,0.89593,0.94701,0.71741,0.90187,0.89515,0.94602,0.66924,0.93116,1.34704,0.50316,0.00494,0,0.000769905,0.000256635,0.000769905,0.000256635,0.000769905,0.000256635,0.000769905,0.000256635
27,4794.51,0.96928,1.36183,0.85294,0.00301,1.77946,0.91072,0.89893,0.95031,0.72015,0.91047,0.89866,0.94881,0.67307,0.93036,1.3427,0.49159,0.00491,0,0.000768301,0.0002561,0.000768301,0.0002561,0.000768301,0.0002561,0.000768301,0.0002561
28,4962.35,0.96566,1.35587,0.82753,0.00303,1.75608,0.90096,0.90528,0.95157,0.72208,0.90061,0.90489,0.95014,0.67427,0.92676,1.34015,0.48193,0.0049,0,0.000766697,0.000255566,0.000766697,0.000255566,0.000766697,0.000255566,0.000766697,0.000255566
29,5133.21,0.95559,1.34715,0.80399,0.00299,1.7578,0.91047,0.90651,0.95265,0.72398,0.91079,0.90517,0.95139,0.67222,0.9282,1.33921,0.47701,0.0049,0,0.000765094,0.000255031,0.000765094,0.000255031,0.000765094,0.000255031,0.000765094,0.000255031
30,5302.58,0.96235,1.37329,0.80003,0.003,1.74343,0.91268,0.90883,0.95459,0.72488,0.91234,0.90845,0.9531,0.67641,0.9304,1.33911,0.46962,0.00492,0,0.00076349,0.000254497,0.00076349,0.000254497,0.00076349,0.000254497,0.00076349,0.000254497
31,5473.56,0.9531,1.34723,0.76807,0.00298,1.71043,0.92119,0.90656,0.95568,0.72648,0.92114,0.9056,0.95443,0.67773,0.92608,1.33715,0.46353,0.00491,0,0.000761886,0.000253962,0.000761886,0.000253962,0.000761886,0.000253962,0.000761886,0.000253962
32,5642.71,0.96227,1.35236,0.76211,0.00301,1.69217,0.92411,0.90026,0.95555,0.72793,0.9239,0.90005,0.95418,0.67723,0.92333,1.33544,0.46335,0.00488,0,0.000760282,0.000253427,0.000760282,0.000253427,0.000760282,0.000253427,0.000760282,0.000253427
33,5811.22,0.95972,1.34265,0.73623,0.00301,1.68036,0.92066,0.90628,0.95712,0.72972,0.92018,0.90578,0.95585,0.67808,0.92363,1.335,0.45638,0.00489,0,0.000758678,0.000252893,0.000758678,0.000252893,0.000758678,0.000252893,0.000758678,0.000252893
34,5982.28,0.96726,1.36958,0.74142,0.00301,1.66878,0.92599,0.90601,0.95741,0.72968,0.92568,0.90568,0.9565,0.6787,0.92567,1.32921,0.45378,0.00489,0,0.000757075,0.000252358,0.000757075,0.000252358,0.000757075,0.000252358,0.000757075,0.000252358
35,6151.6,0.95897,1.3523,0.71504,0.00302,1.65861,0.92118,0.9152,0.95881,0.73094,0.92101,0.91447,0.95799,0.67959,0.92234,1.33167,0.44725,0.00487,0,0.000755471,0.000251824,0.000755471,0.000251824,0.000755471,0.000251824,0.000755471,0.000251824
36,6318.55,0.94941,1.33465,0.69438,0.00295,1.62719,0.924,0.91383,0.95934,0.73078,0.92441,0.91274,0.95833,0.68029,0.92305,1.33144,0.44622,0.00487,0,0.000753867,0.000251289,0.000753867,0.000251289,0.000753867,0.000251289,0.000753867,0.000251289
37,6492.64,0.93768,1.31451,0.68143,0.0029,1.62947,0.92554,0.91395,0.95893,0.72994,0.92542,0.91301,0.95815,0.68144,0.92655,1.33252,0.44756,0.00489,0,0.000752263,0.000250754,0.000752263,0.000250754,0.000752263,0.000250754,0.000752263,0.000250754
38,6661.47,0.95267,1.34649,0.68397,0.00298,1.60707,0.91925,0.92012,0.9594,0.73314,0.91866,0.9195,0.95871,0.68127,0.91997,1.32716,0.44429,0.00485,0,0.000750659,0.00025022,0.000750659,0.00025022,0.000750659,0.00025022,0.000750659,0.00025022
